field_1,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,tracts,ESL_Score,Income_Score,RE_Score,TotalScore,WeightedTo,PercentESL,PercentPOC
0,7129300520,10/13/2014,221900,3,1,1180,5650,1,,0,3,7,1180,0.0,1955,0,98178,47.5112,-122.257,1340,5650,Tract 011900,3,3,5,11,3.666666670000000,14.992760300000000,76.030011850000000
1,6414100192,12/9/2014,538000,3,2.25,2570,7242,2,0,0,3,7,2170,400.0,1951,1991,98125,47.721,-122.319,1690,7639,Tract 000200,3,4,3,10,3.333333330000000,16.380283460000000,36.749027970000000
2,5631500400,2/25/2015,180000,2,1,770,10000,1,0,0,3,6,770,0.0,1933,,98028,47.7379,-122.233,2720,8062,Tract 022102,2,3,2,7,2.333333330000000,8.373316820000000,27.658257240000000
3,2487200875,12/9/2014,604000,4,3,1960,5000,1,0,0,5,7,1050,910.0,1965,0,98136,47.5208,-122.393,1360,5000,Tract 011600,1,3,1,5,1.666666670000000,1.203072910000000,13.944049860000000
4,1954400510,2/18/2015,510000,3,2,1680,8080,1,0,0,3,8,1680,0.0,1987,0,98074,47.6168,-122.045,1800,7503,Tract 032317,2,1,1,4,1.333333330000000,6.263081630000000,18.885847690000000
5,7237550310,5/12/2014,1230000,4,4.5,5420,101930,1,0,0,3,11,3890,1530.0,2001,0,98053,47.6561,-122.005,4760,101930,Tract 032315,1,2,1,4,1.333333330000000,2.753464620000000,15.098468270000000
6,1321400060,6/27/2014,257500,3,2.25,1715,6819,2,0,0,3,7,1715,?,1995,0,98003,47.3097,-122.327,2238,6819,Tract 030314,3,5,4,12,4.000000000000000,13.271889400000000,56.267281110000000
7,2008000270,1/15/2015,291850,3,1.5,1060,9711,1,0,,3,7,1060,0.0,1963,0,98198,47.4095,-122.315,1650,9711,Tract 028801,3,4,4,11,3.666666670000000,15.369393140000000,50.626649080000000
8,2414600126,4/15/2015,229500,3,1,1780,7470,1,0,0,3,7,1050,730.0,1960,0,98146,47.5123,-122.337,1780,8113,Tract 026500,4,5,5,14,4.666666670000000,24.716713880000000,70.066100090000000
9,3793500160,3/12/2015,323000,3,2.5,1890,6560,2,0,0,3,7,1890,0.0,2003,0,98038,47.3684,-122.031,2390,7570,Tract 032011,1,2,1,4,1.333333330000000,1.880659390000000,16.345484100000000
10,1736800520,4/3/2015,662500,3,2.5,3560,9796,1,,0,3,8,1860,1700.0,1965,0,98007,47.6007,-122.145,2210,8925,Tract 023604,4,4,4,12,4.000000000000000,21.900948990000000,58.466785290000000
11,9212900260,5/27/2014,468000,2,1,1160,6000,1,0,0,4,7,860,300.0,1942,0,98115,47.69,-122.292,1330,6000,Tract 002400,1,2,1,4,1.333333330000000,2.767295600000000,18.710691820000000
12,114101516,5/28/2014,310000,3,1,1430,19901,1.5,0,0,4,7,1430,0.0,1927,,98028,47.7558,-122.229,1780,12697,Tract 021700,3,4,2,9,3.000000000000000,10.180047560000000,32.872834330000000
13,6054650070,10/7/2014,400000,3,1.75,1370,9680,1,0,0,4,7,1370,0.0,1977,0,98074,47.6127,-122.045,1370,10208,Tract 032203,2,1,2,5,1.666666670000000,9.129940650000000,34.524561180000000
14,1175000570,3/12/2015,530000,5,2,1810,4850,1.5,0,0,3,7,1810,0.0,1900,0,98107,47.67,-122.394,1360,4850,Tract 003200,1,4,1,6,2.000000000000000,1.317027280000000,17.368297270000000
15,9297300055,1/24/2015,650000,4,3,2950,5000,2,0,3,3,9,1980,970.0,1979,0,98126,47.5714,-122.375,2140,4000,Tract 009900,1,4,2,7,2.333333330000000,4.211453740000000,25.568281940000000
16,1875500060,7/31/2014,395000,3,2,1890,14040,2,0,0,3,7,1890,0.0,1994,0,98019,47.7277,-121.962,1890,14018,Tract 032402,1,2,1,4,1.333333330000000,0.951212030000000,15.050629030000000
17,6865200140,5/29/2014,485000,4,1,1600,4300,1.5,0,0,4,7,1600,0.0,1916,0,98103,47.6648,-122.343,1610,4300,Tract 005000,1,4,1,6,2.000000000000000,2.765855980000000,20.481640440000000
18,16000397,12/5/2014,189000,2,1,1200,9850,1,0,0,4,7,1200,?,1921,0,98002,47.3089,-122.21,1060,5095,Tract 030600,2,4,3,9,3.000000000000000,5.669050050000000,45.369424580000000
19,7983200060,4/24/2015,230000,3,1,1250,9774,1,0,0,4,7,1250,0.0,1969,0,98003,47.3343,-122.306,1280,8850,Tract 030005,3,5,5,13,4.333333330000000,14.772727270000000,69.708806820000000
20,6300500875,5/14/2014,385000,4,1.75,1620,4980,1,0,0,4,7,860,760.0,1947,0,98133,47.7025,-122.341,1400,4980,Tract 001300,3,4,3,10,3.333333330000000,13.070725160000000,44.337511190000000
